total_amount,quantity,unit_price,days_between_po_and_invoice,is_anomaly
3747.05,198,18.92,33,0
248.08,42,5.91,252,1
4271.32,171,24.98,38,0
1534.45,52,29.51,37,0
123.56,65,1.9,40,0
897.44,164,5.47,41,0
185.84,4581,0.04,344,1
181.9,126,1.44,19,0
112.04,2571,0.04,167,1
4370.45,193,22.64,6,0
2912.64,16,182.04,30,0
321.17,57,5.63,22,0
1050.24,142,7.4,20,0
4093.61,159,25.75,11,0
277.66,19,14.61,21,0
3270.17,198,16.52,21,0
3572.8,167,21.39,12,0
3784.21,19,199.17,11,0
2033.99,134,15.18,29,0
119.72,91,1.32,21,0
4840.54,147,32.93,36,0
487.47,3600,0.14,298,1
4647.39,85,54.68,4,0
864.46,138,6.26,31,0
674.92,156,4.33,24,0
2251.24,65,34.63,26,0
4404.58,49,89.89,43,0
2109.15,29,72.73,23,0
4704.12,160,29.4,36,0
3322.24,11,302.02,11,0
3093.87,9,343.76,18,0
4615.02,99,46.62,8,0
1146.67,162,7.08,5,0
4905.05,127,38.62,43,0
3079.14,27,114.04,7,0
382.31,26,14.7,8,0
1856.83,149,12.46,15,0
3798.89,175,21.71,16,0
998.13,194,5.14,33,0
994.38,117,8.5,23,0
1687.42,184,9.17,32,0
1176.34,18,65.35,40,0
362.92,123,2.95,22,0
4143.6,136,30.47,23,0
417.12,124,3.36,36,0
2421.1,50,48.42,28,0
4294.83,41,104.75,32,0
236.4,2851,0.08,-28,1
4264.24,187,22.8,43,0
4347.06,189,23.0,6,0
972.24,196,4.96,21,0
1639.78,170,9.65,6,0
1884.99,110,17.14,5,0
557.81,8,69.73,39,0
2839.37,13,218.41,14,0
416.71,166,2.51,6,0
4417.11,50,88.34,5,0
3821.21,179,21.35,41,0
2332.69,70,33.32,32,0
2073.41,91,22.78,41,0
2316.42,39,59.4,22,0
3889.68,102,38.13,31,0
2539.39,112,22.67,13,0
1340.89,65,20.63,31,0
1540.7,17,90.63,18,0
4157.6,146,28.48,16,0
4088.14,192,21.29,39,0
767.26,18,42.63,-10,1
2715.97,93,29.2,24,0
1183.18,177,6.68,39,0
4851.29,24,202.14,33,0
210.31,44,4.78,31,0
4845.19,79,61.33,43,0
2789.13,183,15.24,11,0
1663.14,76,21.88,28,0
3513.68,74,47.48,35,0
2207.63,130,16.98,8,0
1345.79,71,18.95,31,0
4872.42,39,124.93,22,0
1491.73,64,23.31,21,0
179.96,173,1.04,20,0
1094.57,174,6.29,8,0
1258.78,110,11.44,39,0
2272.08,149,15.25,44,0
1868.37,137,13.64,20,0
1533.77,24,63.91,26,0
1160.01,32,36.25,25,0
1721.22,149,11.55,5,0
345.79,2620,0.13,-30,1
2939.33,190,15.47,43,0
3468.52,170,20.4,34,0
2334.17,35,66.69,44,0
4182.37,198,21.12,4,0
357.52,35,10.21,32,0
4419.92,124,35.64,9,0
3806.26,125,30.45,31,0
421.57,5,84.31,29,0
2612.84,148,17.65,10,0
3749.22,96,39.05,7,0
4688.94,194,24.17,10,0
2311.09,42,55.03,27,0
245.14,117,2.1,5,0
3409.81,147,23.2,34,0
4103.88,109,37.65,34,0
2812.46,111,25.34,41,0
2222.87,143,15.54,16,0
4788.32,139,34.45,5,0
4181.88,125,33.46,18,0
2701.4,53,50.97,6,0
439.3,84,5.23,24,0
3984.74,91,43.79,38,0
4740.96,129,36.75,15,0
2937.55,17,172.8,6,0
2676.26,121,22.12,35,0
3159.87,153,20.65,24,0
3534.26,30,117.81,31,0
1160.0,56,20.71,11,0
853.12,182,4.69,42,0
2525.39,16,157.84,5,0
495.74,105,4.72,35,0
4580.52,61,75.09,44,0
4905.05,131,37.44,5,0
3906.89,190,20.56,38,0
2653.46,121,21.93,3,0
4996.9,128,39.04,9,0
3576.39,118,30.31,7,0
3466.94,168,20.64,21,0
947.96,41,23.12,39,0
1299.47,95,13.68,20,0
1442.71,157,9.19,44,0
3774.34,119,31.72,17,0
3004.78,88,34.15,27,0
2670.83,106,25.2,23,0
171394.91,4,42848.73,-24,1
4016.54,163,24.64,32,0
2544.28,79,32.21,17,0
3743.25,60,62.39,27,0
1313.87,7,187.7,32,0
1522.3,23,66.19,6,0
2722.91,117,23.27,8,0
231.65,27,8.58,23,0
3265.33,68,48.02,10,0
4938.88,81,60.97,43,0
4668.47,183,25.51,20,0
4674.53,134,34.88,20,0
166606.3,4,41651.57,156,1
1013.54,146,6.94,21,0
1378.88,177,7.79,41,0
2652.19,109,24.33,39,0
4986.0,106,47.04,34,0
193.32,74,2.61,22,0
4547.1,81,56.14,40,0
3744.15,39,96.0,7,0
2977.53,95,31.34,35,0
4172.55,78,53.49,17,0
4767.37,123,38.76,16,0
2754.05,178,15.47,44,0
3533.65,106,33.34,18,0
2128.17,92,23.13,13,0
2860.52,198,14.45,15,0
101.39,4174,0.02,330,1
1624.97,126,12.9,27,0
1578.89,59,26.76,24,0
440.69,159,2.77,14,0
2205.66,192,11.49,36,0
4798.52,122,39.33,39,0
2496.82,88,28.37,14,0
2703.47,166,16.29,35,0
4619.37,185,24.97,22,0
4611.61,94,49.06,3,0
641.8,142,4.52,14,0
2363.66,146,16.19,11,0
1430.69,120,11.92,18,0
3750.03,49,76.53,15,0
3786.97,34,111.38,25,0
810.83,34,23.85,-6,1
2407.42,97,24.82,35,0
2446.69,68,35.98,20,0
2586.58,31,83.44,4,0
4697.8,198,23.73,12,0
3386.15,74,45.76,31,0
3529.01,194,18.19,36,0
4970.91,22,225.95,33,0
2644.14,161,16.42,13,0
351.09,127,2.76,28,0
995.96,96,10.37,6,0
3357.53,91,36.9,4,0
3831.09,98,39.09,5,0
2782.79,77,36.14,27,0
1179.29,146,8.08,27,0
4263.27,77,55.37,8,0
3865.83,194,19.93,36,0
429.82,28,15.35,42,0
1035.34,135,7.67,28,0
4584.56,51,89.89,40,0
904.65,187,4.84,31,0
2834.5,61,46.47,12,0
4544.29,27,168.31,44,0
4843.57,158,30.66,22,0
2504.22,162,15.46,15,0
3549.43,184,19.29,32,0
1764.5,118,14.95,44,0
3773.66,187,20.18,28,0
4478.46,103,43.48,24,0
2667.77,191,13.97,17,0
4353.37,123,35.39,29,0
1026.5,159,6.46,12,0
4524.67,54,83.79,26,0
2959.54,38,77.88,30,0
439.74,2022,0.22,302,1
2335.32,77,30.33,27,0
1790.65,152,11.78,35,0
851.74,186,4.58,17,0
1845.66,22,83.89,-3,1
4708.26,127,37.07,10,0
2745.11,170,16.15,25,0
496.16,80,6.2,23,0
3215.37,19,169.23,7,0
3594.42,122,29.46,5,0
2988.94,134,22.31,35,0
4740.57,58,81.73,43,0
2187.65,179,12.22,40,0
4809.27,155,31.03,12,0
4950.65,83,59.65,39,0
4829.09,74,65.26,42,0
417.78,41,10.19,-30,1
3824.9,151,25.33,17,0
2013.68,88,22.88,4,0
4893.53,123,39.78,37,0
1945.71,110,17.69,5,0
406.77,194,2.1,5,0
4837.99,147,32.91,26,0
1303.9,197,6.62,44,0
96.78,48,2.02,8,0
4820.72,100,48.21,27,0
484.66,2283,0.21,219,1
3962.97,181,21.89,8,0
1725.81,169,10.21,14,0
2629.47,180,14.61,27,0
712.98,72,9.9,26,0
2403.73,16,150.23,7,0
4331.31,5,866.26,45,0
3710.99,122,30.42,13,0
1414.47,190,7.44,10,0
2211.72,32,69.12,18,0
3038.38,11,276.22,8,0
1458.58,169,8.63,37,0
3813.07,172,22.17,7,0
610.22,23,26.53,-20,1
4203.92,171,24.58,24,0
676.59,16,42.29,6,0
388.68,166,2.34,21,0
3650.53,170,21.47,12,0
916.59,161,5.69,27,0
4452.96,195,22.84,31,0
3263.74,34,95.99,11,0
2117.59,34,62.28,28,0
2891.96,141,20.51,5,0
2861.41,32,89.42,24,0
2896.48,188,15.41,12,0
3466.69,130,26.67,23,0
173.87,148,1.17,23,0
1734.68,157,11.05,20,0
1224.17,151,8.11,25,0
540.53,30,18.02,-10,1
2198.16,30,73.27,43,0
4698.31,76,61.82,5,0
4479.22,15,298.61,17,0
2841.59,150,18.94,27,0
1171.39,40,29.28,12,0
3322.86,55,60.42,30,0
4787.25,8,598.41,16,0
4576.48,183,25.01,41,0
3378.98,78,43.32,37,0
3607.65,199,18.13,34,0
1262.15,180,7.01,28,0
61128.76,3,20376.25,150,1
2238.12,74,30.24,16,0
403.48,47,8.58,22,0
1881.76,189,9.96,23,0
2348.99,92,25.53,41,0
1378.61,42,32.82,7,0
2956.26,10,295.63,20,0
4075.13,177,23.02,30,0
3711.29,86,43.15,26,0
1253.88,183,6.85,17,0
730.58,166,4.4,17,0
1628.57,158,10.31,23,0
4746.68,100,47.47,31,0
4674.75,187,25.0,36,0
83.5,106,0.79,24,0
2368.24,24,98.68,12,0
4501.37,87,51.74,41,0
3421.9,40,85.55,3,0
318.31,137,2.32,26,0
431.97,30,14.4,35,0
651.06,166,3.92,41,0
797.24,22,36.24,33,0
2677.72,74,36.19,13,0
134271.16,1,134271.16,-11,1
2933.18,151,19.43,3,0
3781.1,89,42.48,22,0
2780.64,8,347.58,4,0
2218.67,183,12.12,34,0
4986.45,179,27.86,23,0
2229.1,115,19.38,44,0
669.59,82,8.17,42,0
1755.35,146,12.02,43,0
258.23,187,1.38,8,0
3677.22,95,38.71,13,0
981.79,159,6.17,33,0
729.5,162,4.5,40,0
1112.12,161,6.91,21,0
2223.81,124,17.93,22,0
471.65,68,6.94,10,0
1902.79,44,43.25,33,0
4168.53,97,42.97,8,0
2468.46,199,12.4,18,0
2378.98,171,13.91,31,0
1222.67,41,29.82,45,0
1506.47,108,13.95,18,0
1682.53,182,9.24,34,0
1995.13,162,12.32,22,0
2124.68,195,10.9,12,0
2251.44,199,11.31,20,0
2108.44,145,14.54,33,0
4434.66,85,52.17,22,0
1762.81,137,12.87,21,0
447.24,174,2.57,37,0
3406.54,117,29.12,5,0
831.98,118,7.05,25,0
4849.46,161,30.12,21,0
4160.4,180,23.11,32,0
2801.17,137,20.45,15,0
3259.01,188,17.34,14,0
2376.55,109,21.8,24,0
3496.73,109,32.08,12,0
4672.82,128,36.51,45,0
1929.49,106,18.2,25,0
470.54,18,26.14,12,0
3135.13,106,29.58,44,0
4766.31,41,116.25,41,0
2812.53,62,45.36,22,0
3895.34,150,25.97,41,0
3949.75,165,23.94,40,0
1242.8,163,7.62,36,0
1706.51,89,19.17,9,0
3827.27,151,25.35,11,0
1422.51,42,33.87,11,0
1202.54,30,40.08,29,0
2816.31,127,22.18,16,0
4570.49,49,93.28,29,0
3140.37,154,20.39,38,0
1990.19,157,12.68,8,0
1096.51,182,6.02,39,0
3004.11,30,100.14,15,0
4530.78,67,67.62,39,0
2922.63,194,15.07,5,0
4353.9,90,48.38,22,0
492.62,3774,0.13,222,1
713.76,67,10.65,19,0
1056.52,170,6.21,8,0
1050.68,142,7.4,12,0
274.82,106,2.59,41,0
4006.6,186,21.54,13,0
4594.34,139,33.05,12,0
4328.02,165,26.23,23,0
2458.83,175,14.05,22,0
1345.42,50,26.91,-27,1
4054.77,47,86.27,31,0
275.04,169,1.63,39,0
2641.25,97,27.23,7,0
3372.36,108,31.23,26,0
128.5,1655,0.08,263,1
1412.01,147,9.61,40,0
1824.39,115,15.86,12,0
1762.14,7,251.73,187,1
1408.68,149,9.45,6,0
2781.99,144,19.32,27,0
2069.55,62,33.38,10,0
2187.79,195,11.22,26,0
1277.2,29,44.04,6,0
493.61,146,3.38,8,0
1576.69,97,16.25,35,0
1580.99,188,8.41,33,0
