po_number,vendor_id,vendor_name,category,item_description,quantity,unit_price,subtotal,tax_amount,grand_total,date_issued,payment_terms,status
PO-2024-0027,V003,Green Planet Cleaning Co.,Cleaning Supplies,Disinfectant Spray,80,34.22,2737.6,273.76,3011.36,20/02/2024,Net 30,Active
PO-2024-0028,V002,TechCore Solutions Pvt.,IT Equipment,Laptop,11,188.17,2069.87,206.99,2276.86,15/05/2024,Net 60,Active
PO-2024-0029,V006,ProServ Consulting Group,Professional Services,Legal Advisory Fee,9,1095.4,9858.6,985.86,10844.46,02/11/2024,2/10 Net 30,Active
PO-2024-0030,V004,National Utilities Corp.,Utilities,Water Supply,1,733.15,733.15,73.31,806.46,04/03/2024,Due on Receipt,Active
PO-2024-0031,V003,Green Planet Cleaning Co.,Cleaning Supplies,Trash Bags 100pc,64,105.02,6721.28,672.13,7393.41,11/02/2024,Net 30,Active
PO-2024-0032,V001,Apex Office Supplies Ltd.,Office Supplies,Stapler,37,23.65,875.05,87.5,962.55,21/04/2024,2/10 Net 30,Active
PO-2024-0033,V004,National Utilities Corp.,Utilities,Water Supply,1,979.93,979.93,97.99,1077.92,21/05/2024,Net 30,Active
PO-2024-0034,V004,National Utilities Corp.,Utilities,Electricity Bill,1,2913.19,2913.19,291.32,3204.51,15/05/2024,Net 45,Active
PO-2024-0035,V004,National Utilities Corp.,Utilities,Water Supply,1,2621.02,2621.02,262.1,2883.12,14/02/2024,Net 45,Active
PO-2024-0036,V004,National Utilities Corp.,Utilities,Water Supply,1,2794.25,2794.25,279.43,3073.68,03/09/2024,Net 60,Active
PO-2024-0037,V004,National Utilities Corp.,Utilities,Gas Bill,1,1030.78,1030.78,103.08,1133.86,13/02/2024,2/10 Net 30,Active
PO-2024-0038,V006,ProServ Consulting Group,Professional Services,Audit Services,1,725.64,725.64,72.56,798.2,15/09/2024,2/10 Net 30,Active
PO-2024-0039,V005,Premier Raw Materials Inc.,Raw Materials,Steel Sheet 1m²,280,67.65,18942.0,1894.2,20836.2,19/04/2024,Net 30,Active
PO-2024-0040,V005,Premier Raw Materials Inc.,Raw Materials,PVC Pipe 3m,226,86.35,19515.1,1951.51,21466.61,01/11/2024,Net 45,Active
PO-2024-0041,V005,Premier Raw Materials Inc.,Raw Materials,Steel Sheet 1m²,234,338.97,79318.98,7931.9,87250.88,30/10/2024,2/10 Net 30,Active
PO-2024-0042,V003,Green Planet Cleaning Co.,Cleaning Supplies,Disinfectant Spray,90,88.78,7990.2,799.02,8789.22,16/05/2024,Net 60,Active
PO-2024-0043,V004,National Utilities Corp.,Utilities,Internet Service,1,1085.3,1085.3,108.53,1193.83,21/02/2024,Net 30,Active
PO-2024-0044,V004,National Utilities Corp.,Utilities,Electricity Bill,1,1616.48,1616.48,161.65,1778.13,22/03/2024,Net 60,Active
PO-2024-0045,V001,Apex Office Supplies Ltd.,Office Supplies,Stapler,82,16.83,1380.06,138.01,1518.07,19/10/2024,Net 60,Active
PO-2024-0046,V005,Premier Raw Materials Inc.,Raw Materials,Copper Wire Spool,497,341.79,169869.63,16986.96,186856.59,23/03/2024,Net 60,Active
PO-2024-0047,V001,Apex Office Supplies Ltd.,Office Supplies,Whiteboard Marker,49,25.43,1246.07,124.61,1370.68,01/05/2024,Net 60,Active
PO-2024-0048,V008,Horizon IT Equipment Co.,IT Equipment,Network Switch,16,539.69,8635.04,863.5,9498.54,10/02/2024,Net 30,Active
PO-2024-0049,V006,ProServ Consulting Group,Professional Services,Audit Services,1,515.96,515.96,51.6,567.56,21/03/2024,Net 60,Active
PO-2024-0050,V008,Horizon IT Equipment Co.,IT Equipment,Network Switch,14,1143.77,16012.78,1601.28,17614.06,12/03/2024,Net 30,Active
